Experiment parameters,,,,
parameter,value,,,
title,Seddelgjenkjenning: Brukertest,,,
experiment type,Category Judgement,,,
delay between stimuli switching,200ms,,,
Background colour,#808080,,,
Stimuli spacing,15px,,,
Same pair twice (flipped),no,,,
Show original,no,,,
,,,,
Image sets,,,,
set name,file name,,,
Upscaled - riktig,Upscale_00001_.png,,,
Upscaled - riktig,Upscale_00002_.png,,,
Upscaled - riktig,Upscale_00004_.png,,,
Upscaled - riktig,Upscale_00008_.png,,,
Upscaled - riktig,VeryGoodExample.png,,,
Z-Image Turbo - riktig,New-dataset_batch_00323_.png,,,
Z-Image Turbo - riktig,Prompt-&-parameter-testing_00021_.png,,,
Z-Image Turbo - riktig,Prompt-&-parameter-testing_00024_.png,,,
Z-Image Turbo - riktig,Prompt-&-parameter-testing_00025_.png,,,
Z-Image Turbo - riktig,New-dataset_batch_00173_.png,,,
3258,8167,367641-alexfas01.png,Trolig ekte,17
3258,8167,Lora-test_00004_.png,Helt sikker falsk,7
3258,8167,generated_187.png,Helt sikker falsk,7
3258,8167,Upscale_00008_.png,Helt sikker falsk,11
3258,8167,generated_140.png,Helt sikker falsk,4
3258,8167,New-dataset_batch_00173_.png,Helt sikker falsk,4
3258,8167,generated_57.png,Helt sikker falsk,4
3261,8168,one-hundred-dollar-bill-on-a-black-plate-front-view-financial-concept-photo2_1.png,Trolig ekte,18
3261,8168,Lora-test_00001_.png,Helt sikker falsk,9
3261,8168,Upscale_00002_.png,Helt sikker falsk,11
3261,8168,generated_140.png,Helt sikker falsk,4
3261,8168,generated_49.png,Helt sikker falsk,4
3261,8168,generated_88.png,Helt sikker falsk,4
3261,8168,VeryGoodExample.png,Trolig falsk,16
3261,8168,s-l120016_2.png,Helt sikker ekte,15
3261,8168,Prompt-&-parameter-testing_00024_.png,Helt sikker falsk,3
3261,8168,s-l120012_1.png,Helt sikker ekte,16
3261,8168,New-dataset_batch_00173_.png,Helt sikker falsk,4
3261,8168,generated_187.png,Helt sikker falsk,3
3261,8168,Upscale_00004_.png,Helt sikker falsk,7
3261,8168,Upscale_00001_.png,Helt sikker falsk,5
3261,8168,Lora-test_00004_.png,Helt sikker falsk,3
3261,8168,Prompt-&-parameter-testing_00021_.png,Helt sikker falsk,3
3261,8168,Lora-test_00003_.png,Helt sikker falsk,3
3261,8168,Lora-test_00005_.png,Helt sikker falsk,2
3261,8168,669b85b6f3f69.png,Helt sikker falsk,2
3261,8168,New-dataset_batch_00323_.png,Helt sikker falsk,6
3261,8168,Upscale_00008_.png,Helt sikker falsk,4
3261,8168,367641-alexfas01.png,Helt sikker ekte,12
3261,8168,Lora-test_00002_.png,Helt sikker falsk,6
3261,8168,generated_57.png,Helt sikker falsk,3
3261,8168,Prompt-&-parameter-testing_00025_.png,Helt sikker falsk,7
3263,8170,generated_187.png,Trolig ekte,10
3263,8170,VeryGoodExample.png,Trolig falsk,12
